mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
346.73,1.15,0.32,0.15,1,2,500,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.33,-0.35,-0.45,-0.37,-0.38,0.05,1
330.59,1.76,0.27,0.14,1,4,500,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",-0.4,-0.51,-0.64,-0.52,-0.52,0.08,2
320.92,0.82,0.27,0.14,1,6,500,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",-0.58,-0.74,-0.91,-0.72,-0.74,0.12,5
276.1,10.32,0.33,0.14,1,8,500,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 500}",-0.88,-0.96,-1.08,-0.85,-0.94,0.09,10
289.54,10.54,0.31,0.17,2,2,500,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-0.49,-0.61,-0.73,-0.6,-0.61,0.09,4
275.75,2.47,0.25,0.13,2,4,500,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",-0.5,-0.6,-0.72,-0.61,-0.61,0.08,3
281.81,7.15,0.3,0.12,2,6,500,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 500}",-0.6,-0.77,-0.89,-0.74,-0.75,0.1,6
275.01,2.53,0.28,0.13,2,8,500,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",-0.89,-0.97,-1.06,-0.87,-0.95,0.08,11
284.69,11.15,0.27,0.12,3,2,500,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 500}",-0.76,-0.87,-0.94,-0.79,-0.84,0.07,9
270.77,4.6,0.24,0.12,3,4,500,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 500}",-0.77,-0.86,-0.95,-0.78,-0.84,0.07,8
269.9,5.14,0.24,0.12,3,6,500,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 500}",-0.75,-0.86,-0.95,-0.78,-0.84,0.08,7
264.55,3.85,0.23,0.12,3,8,500,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 500}",-0.93,-1.0,-1.06,-0.88,-0.97,0.07,12
264.78,5.11,0.23,0.12,4,2,500,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-1.03,-1.08,-1.11,-0.92,-1.03,0.07,13
263.04,5.53,0.22,0.12,4,4,500,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500}",-1.08,-1.07,-1.1,-0.92,-1.04,0.07,14
265.36,1.89,0.22,0.12,4,6,500,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 500}",-1.1,-1.06,-1.11,-0.92,-1.05,0.08,15
270.63,3.34,0.24,0.12,4,8,500,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 500}",-1.05,-1.1,-1.12,-0.92,-1.05,0.08,16
262.21,4.54,0.23,0.12,5,2,500,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",-1.3,-1.28,-1.24,-1.01,-1.21,0.12,20
267.51,2.23,0.22,0.11,5,4,500,"{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500}",-1.32,-1.26,-1.23,-1.01,-1.2,0.12,17
257.32,10.82,0.21,0.11,5,6,500,"{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 500}",-1.29,-1.27,-1.23,-1.02,-1.2,0.11,19
255.32,5.61,0.21,0.11,5,8,500,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 500}",-1.3,-1.27,-1.23,-1.02,-1.2,0.11,18
