Date,Open,High,Low,Close,Adj Close,Volume,ticker
2019-05-20,14.7,14.89,14.54,14.77,14.65,96300,AALR3
2019-05-21,14.8,14.9,14.68,14.7,14.58,106700,AALR3
2019-05-22,14.6,14.95,14.2,14.2,14.08,177300,AALR3
2019-05-23,14.2,14.33,14.1,14.14,14.02,120500,AALR3
2019-05-24,14.18,14.32,13.95,13.99,13.88,165400,AALR3
