mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
580.96,32.83,0.48,0.27,1,2,1000,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",-0.3,-0.34,-0.44,-0.37,-0.36,0.05,1
602.98,15.25,0.44,0.25,1,4,1000,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1000}",-0.41,-0.51,-0.65,-0.52,-0.52,0.09,2
552.17,42.84,0.42,0.24,1,6,1000,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1000}",-0.59,-0.74,-0.9,-0.73,-0.74,0.11,5
484.27,2.27,0.4,0.23,1,8,1000,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 1000}",-0.86,-0.96,-1.07,-0.87,-0.94,0.08,10
497.21,0.39,0.45,0.25,2,2,1000,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",-0.51,-0.59,-0.71,-0.6,-0.6,0.07,3
497.22,1.3,0.44,0.24,2,4,1000,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",-0.52,-0.61,-0.72,-0.6,-0.61,0.07,4
485.21,0.88,0.42,0.23,2,6,1000,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1000}",-0.63,-0.75,-0.89,-0.73,-0.75,0.09,6
481.32,1.04,0.45,0.23,2,8,1000,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 1000}",-0.9,-0.97,-1.06,-0.86,-0.95,0.08,11
490.81,2.86,0.45,0.24,3,2,1000,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}",-0.76,-0.86,-0.97,-0.78,-0.84,0.08,8
540.1,4.38,0.46,0.25,3,4,1000,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}",-0.74,-0.87,-0.95,-0.79,-0.84,0.08,7
542.09,10.25,0.46,0.24,3,6,1000,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 1000}",-0.78,-0.86,-0.94,-0.79,-0.84,0.07,9
544.51,13.73,1.29,1.06,3,8,1000,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",-0.94,-1.0,-1.07,-0.87,-0.97,0.07,12
574.9,7.43,0.54,0.26,4,2,1000,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}",-1.03,-1.07,-1.12,-0.92,-1.04,0.07,13
572.8,8.61,0.51,0.24,4,4,1000,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1000}",-1.05,-1.09,-1.12,-0.92,-1.04,0.07,15
565.21,13.44,0.47,0.24,4,6,1000,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 1000}",-1.06,-1.08,-1.12,-0.92,-1.05,0.07,16
537.22,8.18,0.44,0.23,4,8,1000,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1000}",-1.06,-1.08,-1.11,-0.92,-1.04,0.07,14
536.13,7.22,0.48,0.27,5,2,1000,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}",-1.28,-1.26,-1.22,-1.02,-1.19,0.11,17
537.73,12.09,0.45,0.24,5,4,1000,"{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 1000}",-1.3,-1.26,-1.23,-1.02,-1.2,0.11,20
518.54,12.72,0.41,0.23,5,6,1000,"{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1000}",-1.29,-1.27,-1.23,-1.01,-1.2,0.11,18
518.56,6.88,0.42,0.23,5,8,1000,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1000}",-1.3,-1.27,-1.23,-1.02,-1.2,0.11,19
