mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
710.54,4.35,0.25,0.08,1,2,500,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.46,-0.38,-0.35,-0.32,-0.38,0.05,1
653.92,3.17,0.21,0.07,1,4,500,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",-0.66,-0.47,-0.46,-0.42,-0.5,0.09,2
633.88,1.21,0.2,0.06,1,6,500,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",-0.8,-0.59,-0.56,-0.51,-0.62,0.11,5
586.53,3.62,0.16,0.06,1,8,500,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 500}",-0.9,-0.66,-0.65,-0.59,-0.7,0.12,10
614.0,3.18,0.22,0.12,2,2,500,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-0.71,-0.53,-0.51,-0.47,-0.56,0.09,3
611.7,3.92,0.2,0.08,2,4,500,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",-0.72,-0.53,-0.52,-0.47,-0.56,0.09,4
599.33,3.07,0.17,0.06,2,6,500,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 500}",-0.81,-0.6,-0.59,-0.54,-0.64,0.11,6
589.22,4.92,0.16,0.05,2,8,500,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",-0.89,-0.67,-0.66,-0.61,-0.71,0.11,11
593.26,1.99,0.17,0.07,3,2,500,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 500}",-0.84,-0.64,-0.63,-0.58,-0.67,0.1,7
595.51,3.5,0.16,0.06,3,4,500,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 500}",-0.87,-0.64,-0.62,-0.59,-0.68,0.11,9
592.54,3.96,0.16,0.06,3,6,500,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 500}",-0.85,-0.64,-0.63,-0.58,-0.68,0.1,8
583.06,0.85,0.16,0.06,3,8,500,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 500}",-0.92,-0.69,-0.68,-0.63,-0.73,0.11,12
586.67,5.89,0.15,0.05,4,2,500,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-0.94,-0.76,-0.71,-0.69,-0.78,0.1,16
587.66,3.54,0.15,0.05,4,4,500,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500}",-0.94,-0.75,-0.72,-0.68,-0.77,0.1,14
586.26,4.09,0.15,0.06,4,6,500,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 500}",-0.95,-0.75,-0.71,-0.68,-0.77,0.1,15
612.6,4.5,0.15,0.05,4,8,500,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 500}",-0.94,-0.75,-0.71,-0.68,-0.77,0.1,13
604.35,2.93,0.14,0.05,5,2,500,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",-1.01,-0.84,-0.78,-0.75,-0.85,0.1,18
604.21,3.58,0.14,0.05,5,4,500,"{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500}",-0.99,-0.85,-0.78,-0.76,-0.84,0.09,17
573.09,7.03,0.14,0.05,5,6,500,"{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 500}",-1.01,-0.85,-0.78,-0.75,-0.85,0.1,19
566.17,3.42,0.14,0.05,5,8,500,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 500}",-1.03,-0.85,-0.78,-0.75,-0.85,0.11,20
