mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_booster;param_learning_rate;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
419.07;6.73;7.01;0.55;dart;0.5;50;{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 50};-1.87;-1.78;-1.67;-1.71;-1.76;0.07;18
539.1;5.51;0.13;0.03;gbtree;0.01;150;{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 150};-14.46;-14.7;-14.99;-15.1;-14.81;0.25;25
2626.26;9.11;20.12;1.79;dart;0.01;150;{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 150};-14.46;-14.7;-14.99;-15.1;-14.81;0.25;26
447.51;2.31;0.13;0.03;gbtree;0.01;125;{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 125};-17.0;-17.17;-17.53;-17.66;-17.34;0.27;27
1896.06;4.73;16.32;1.16;dart;0.01;125;{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 125};-17.0;-17.17;-17.53;-17.66;-17.34;0.27;28
22.04;0.2;0.05;0.01;gblinear;0.5;500;{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 500};-18.13;-18.54;-18.74;-18.71;-18.53;0.24;10
21.97;0.19;0.04;0.01;gblinear;1;500;{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 500};-18.13;-18.54;-18.74;-18.7;-18.53;0.24;9
43.86;0.74;0.05;0.01;gblinear;0.2;1000;{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 1000};-18.13;-18.54;-18.75;-18.71;-18.53;0.24;7
43.43;0.12;0.04;0.01;gblinear;0.5;1000;{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 1000};-18.13;-18.54;-18.74;-18.7;-18.53;0.24;5
43.42;0.19;0.04;0.01;gblinear;1;1000;{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 1000};-18.13;-18.54;-18.74;-18.7;-18.53;0.24;6
46.07;1.76;0.3;0.12;gblinear;0.5;100;{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 100};-18.15;-18.55;-18.76;-18.72;-18.54;0.24;34
57.5;0.81;0.29;0.07;gblinear;0.5;125;{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 125};-18.15;-18.55;-18.75;-18.72;-18.54;0.24;33
69.0;1.29;0.28;0.02;gblinear;0.5;150;{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 150};-18.14;-18.55;-18.75;-18.72;-18.54;0.24;32
46.53;1.48;0.25;0.04;gblinear;1;100;{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 100};-18.14;-18.55;-18.75;-18.72;-18.54;0.24;31
58.26;1.8;0.27;0.01;gblinear;1;125;{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 125};-18.14;-18.55;-18.75;-18.71;-18.54;0.24;30
69.7;1.19;0.36;0.04;gblinear;1;150;{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 150};-18.14;-18.55;-18.75;-18.71;-18.54;0.24;29
21.94;0.1;0.05;0.01;gblinear;0.2;500;{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 500};-18.14;-18.55;-18.75;-18.71;-18.54;0.24;11
25.5;0.29;0.29;0.09;gblinear;0.2;50;{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 50};-18.15;-18.55;-18.76;-18.73;-18.55;0.24;40
47.78;1.17;0.29;0.09;gblinear;0.2;100;{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 100};-18.15;-18.55;-18.76;-18.72;-18.55;0.24;36
58.61;1.27;0.3;0.04;gblinear;0.2;125;{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 125};-18.15;-18.55;-18.76;-18.72;-18.55;0.24;38
70.02;1.03;0.31;0.07;gblinear;0.2;150;{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 150};-18.15;-18.55;-18.76;-18.72;-18.55;0.24;35
23.75;1.02;0.27;0.06;gblinear;0.5;50;{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 50};-18.15;-18.56;-18.76;-18.72;-18.55;0.24;39
24.76;1.0;0.3;0.08;gblinear;1;50;{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 50};-18.15;-18.56;-18.75;-18.72;-18.55;0.24;37
