mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
309.43,0.84,5.98,0.21,dart,0.01,50,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 50}",-32.87,-32.51,-33.12,-33.25,-32.94,0.28,48
970.59,7.64,12.59,0.37,dart,0.01,100,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 100}",-23.94,-24.03,-24.39,-24.54,-24.22,0.25,44
1437.31,5.49,15.22,0.62,dart,0.01,125,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 125}",-21.48,-21.69,-21.97,-22.12,-21.82,0.25,40
1991.09,4.66,18.71,1.22,dart,0.01,150,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 150}",-19.81,-20.1,-20.33,-20.46,-20.18,0.25,38
304.3,0.84,6.45,0.21,dart,0.2,50,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 50}",-8.42,-8.7,-8.78,-8.88,-8.69,0.17,24
967.96,2.93,12.79,0.32,dart,0.2,100,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 100}",-4.73,-4.88,-4.92,-5.01,-4.89,0.1,22
1432.97,10.83,15.77,0.7,dart,0.2,125,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 125}",-3.81,-3.85,-3.82,-3.86,-3.83,0.02,17
1998.06,7.39,18.99,1.09,dart,0.2,150,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 150}",-3.23,-3.28,-3.21,-3.21,-3.23,0.03,16
306.17,2.9,6.51,0.51,dart,0.5,50,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 50}",-3.84,-3.83,-3.84,-3.9,-3.85,0.03,19
970.25,5.23,12.07,0.83,dart,0.5,100,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 100}",-2.18,-1.99,-1.79,-1.66,-1.9,0.2,14
1446.77,4.83,15.37,0.43,dart,0.5,125,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 125}",-1.82,-1.62,-1.43,-1.33,-1.55,0.19,12
2001.68,8.36,19.01,1.1,dart,0.5,150,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 150}",-1.76,-1.58,-1.38,-1.25,-1.49,0.19,8
311.23,2.57,6.35,0.27,dart,1,50,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 50}",-1.54,-1.64,-1.54,-1.41,-1.53,0.08,9
986.44,0.98,13.1,0.22,dart,1,100,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 100}",-1.37,-1.24,-1.11,-1.02,-1.19,0.13,5
1459.83,6.54,13.72,1.65,dart,1,125,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 125}",-1.26,-1.08,-0.97,-0.92,-1.06,0.13,4
1718.6,8.3,4.13,3.11,dart,1,150,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 150}",-1.22,-1.03,-0.92,-0.87,-1.01,0.13,1
162.28,0.39,0.04,0.02,gbtree,0.01,500,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 500}",-11.7,-12.01,-12.13,-12.25,-12.02,0.2,7
162.82,0.55,0.03,0.02,gbtree,0.2,500,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 500}",-1.54,-1.39,-1.19,-1.02,-1.29,0.2,5
163.55,0.33,0.02,0.01,gbtree,0.5,500,"{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 500}",-0.72,-0.65,-0.57,-0.53,-0.62,0.07,3
163.73,0.27,0.02,0.01,gbtree,1,500,"{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 500}",-0.52,-0.48,-0.43,-0.43,-0.47,0.04,1
29.07,0.06,0.05,0.01,gblinear,0.01,500,"{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 500}",-18.42,-18.64,-19.11,-18.99,-18.79,0.28,12
30.03,0.09,0.05,0.01,gblinear,0.2,500,"{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 500}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,9
28.97,0.08,0.05,0.01,gblinear,0.5,500,"{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 500}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,10
29.05,0.15,0.05,0.02,gblinear,1,500,"{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 500}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,11
3980.58,1.51,5.23,2.06,dart,0.01,500,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 500}",-11.7,-12.01,-12.13,-12.25,-12.02,0.2,8
3952.07,3.56,8.38,1.89,dart,0.2,500,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 500}",-1.54,-1.39,-1.19,-1.02,-1.29,0.2,6
3941.08,1.59,8.55,2.22,dart,0.5,500,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 500}",-0.72,-0.65,-0.57,-0.53,-0.62,0.07,4
3981.4,3.09,4.67,1.49,dart,1,500,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 500}",-0.52,-0.48,-0.43,-0.43,-0.47,0.04,2
61.53,0.01,0.01,0.0,gbtree,0.01,1000,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 1000}",-8.27,-8.54,-8.64,-8.77,-8.56,0.18,4
62.04,0.13,0.01,0.0,gbtree,0.2,1000,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 1000}",-0.89,-0.86,-0.74,-0.67,-0.79,0.09,3
62.12,0.06,0.01,0.0,gbtree,0.5,1000,"{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 1000}",-0.45,-0.42,-0.37,-0.35,-0.4,0.04,2
62.07,0.05,0.01,0.0,gbtree,1,1000,"{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 1000}",-0.31,-0.29,-0.25,-0.25,-0.28,0.02,1
11.3,0.13,0.01,0.0,gblinear,0.01,1000,"{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 1000}",-18.24,-18.55,-18.88,-18.81,-18.62,0.25,8
11.56,0.09,0.01,0.0,gblinear,0.2,1000,"{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 1000}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,5
11.38,0.16,0.01,0.0,gblinear,0.5,1000,"{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 1000}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,6
11.48,0.03,0.01,0.0,gblinear,1,1000,"{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 1000}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,7
2419.79,3.73,0.57,0.36,dart,0.01,1000,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 1000}",-8.27,-8.54,-8.64,-8.77,-8.56,0.18,4
2418.11,0.62,0.59,0.36,dart,0.2,1000,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 1000}",-0.89,-0.86,-0.74,-0.67,-0.79,0.09,3
2417.52,1.43,0.59,0.36,dart,0.5,1000,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 1000}",-0.45,-0.42,-0.37,-0.35,-0.4,0.04,2
2416.42,0.29,0.59,0.36,dart,1,1000,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 1000}",-0.31,-0.29,-0.25,-0.25,-0.28,0.02,1
