mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1405.08,2.67,0.37,0.16,1,2,1500,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}",-0.47,-0.37,-0.35,-0.32,-0.38,0.06,1
1303.92,2.39,0.32,0.13,1,4,1500,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1500}",-0.68,-0.47,-0.46,-0.41,-0.51,0.1,2
1258.04,2.0,0.29,0.12,1,6,1500,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1500}",-0.79,-0.58,-0.56,-0.51,-0.61,0.11,5
1232.2,0.79,0.27,0.11,1,8,1500,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 1500}",-0.89,-0.67,-0.64,-0.59,-0.7,0.11,10
1283.71,3.58,0.31,0.13,2,2,1500,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1500}",-0.73,-0.53,-0.51,-0.47,-0.56,0.1,4
1283.75,0.93,0.31,0.13,2,4,1500,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1500}",-0.72,-0.52,-0.51,-0.47,-0.56,0.1,3
1247.36,0.97,0.28,0.11,2,6,1500,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1500}",-0.82,-0.6,-0.58,-0.54,-0.63,0.11,6
1225.34,0.62,0.26,0.1,2,8,1500,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 1500}",-0.9,-0.67,-0.66,-0.6,-0.71,0.11,11
1235.83,0.31,0.28,0.11,3,2,1500,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1500}",-0.86,-0.65,-0.62,-0.59,-0.68,0.11,8
1238.32,1.95,0.28,0.1,3,4,1500,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1500}",-0.86,-0.64,-0.63,-0.58,-0.68,0.11,9
1243.69,1.59,0.28,0.11,3,6,1500,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 1500}",-0.84,-0.64,-0.62,-0.59,-0.67,0.1,7
1221.77,1.07,0.26,0.1,3,8,1500,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1500}",-0.92,-0.7,-0.68,-0.63,-0.73,0.11,12
1217.07,1.15,0.26,0.1,4,2,1500,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1500}",-0.94,-0.75,-0.71,-0.68,-0.77,0.1,14
1217.1,0.47,0.26,0.1,4,4,1500,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1500}",-0.93,-0.75,-0.71,-0.68,-0.77,0.1,13
1217.1,0.71,0.26,0.1,4,6,1500,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 1500}",-0.95,-0.75,-0.71,-0.68,-0.77,0.11,16
1214.0,0.87,0.26,0.1,4,8,1500,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1500}",-0.94,-0.75,-0.71,-0.68,-0.77,0.1,15
1199.74,0.6,0.25,0.09,5,2,1500,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",-1.02,-0.85,-0.78,-0.75,-0.85,0.1,20
1200.28,1.55,0.25,0.1,5,4,1500,"{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 1500}",-1.02,-0.84,-0.78,-0.76,-0.85,0.1,18
1202.71,0.23,0.25,0.09,5,6,1500,"{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1500}",-1.0,-0.84,-0.78,-0.76,-0.84,0.09,17
1202.31,0.85,0.25,0.09,5,8,1500,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1500}",-1.02,-0.84,-0.77,-0.75,-0.85,0.11,19
